,W43_M1,W43_M1adj,W27_M1,W27_M1adj,W28_M1,W28_M1adj,W26_M1,W26_M1adj,W31_M1,W31_M1adj,W42_M1,W42_M1adj,W24_M1.1,W24_M1adj.1,W25_M1.2,W25_M1adj.2,W23_M1,W23_M1adj,W22_M1,W22_M1adj,W41_M1,W41_M1adj,W39_M1,W39_M1adj,W39_M2,W39_M2adj,W50_M1,W50_M1adj,W50_M2,W50_M2adj,W34_M1,W34_M1adj,W45_M1,W45_M1adj,W49_M1,W49_M1adj,W35_M1,W35_M1adj,W35_M2,W35_M2adj,W36_M1,W36_M1adj,W47_M1,W47_M1adj,W32_M1,W32_M1adj,W32_M2,W32_M2adj,W33_M1,W33_M1adj,W46_M1,W46_M1adj,W29_M1,W29_M1adj,W30_M1,W30_M1adj,W44_M1,W44_M1adj,W44_M2,W44_M2adj,W30_M2,W30_M2adj,W25_M2,W25_M2adj,W48_M1,W48_M1adj,W41_M2,W41_M2adj,W47_M2,W47_M2adj,W31_M2,W31_M2adj
1163,,,,,,,,,,,,,,,,,20.64,,20.64,,20.64,,,,,,,,,,34.399,34.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,,,,,,,,,,,,,,,,,110.078,110.078,13.76,,13.76,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,,,,,,,,,,,,,,,,,185.757,185.757,13.76,,20.64,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,,,,,,,,,,,,,,,,,6.88,,6.88,,6.88,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,,,,,,,,,,,,,,,,,55.039,55.039,123.838,123.838,6.88,,,,,,,,,,27.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,,,,,,,,,,,,,,,,,27.519,,6.88,,6.88,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,,,,,,,,,,,,,,,,,13.76,,6.88,,6.88,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,,,,,,,,,,,,,,,,,13.76,,96.318,96.318,6.88,,,,,,,,,,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,,,,,,,,,,,,,,,,,13.76,,6.88,,178.877,178.877,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,,,,,,,,,,,,,,,,,13.76,,6.88,,13.76,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,,,,,,,,,,,,,,,,,34.399,34.399,34.399,34.399,6.88,,,,,,,,,,27.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,,,,,,,,,,,,,,,,,27.519,,6.88,,13.76,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,,,,,,,,,,,,,,,,,55.039,55.039,20.64,,13.76,,,,,,,,,,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,,,,,,,,,,,,,,,,,6.88,,20.64,,6.88,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,,,,,,,,,,,,,,,,,123.838,123.838,6.88,,6.88,,,,,,,,,,1100.779,1100.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,13.76,,27.519,,6.88,,,,,,,,,,20.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,,,,,,,,,,,,,,,,,6.88,,48.159,48.159,6.88,,,,,,,,,,1995.163,1995.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,,,,,,,,,,,,,,,,,171.997,171.997,158.237,158.237,,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,,,,,,,,,,,,,,,,,6.88,,13.76,,,,,,,,,,,,89.438,89.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,,,,,,,,,,,,,,,,,13.76,,13.76,,,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,,,,,,,,,,,,,,,,,27.519,,6.88,,,,,,,,,,,,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,,,,,,,,,,,,,,,,,55.039,55.039,6.88,,,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,,,,,,,,,,,,,,,,,41.279,41.279,6.88,,,,,,,,,,,,254.555,254.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,,,,,,,,,,,,,,,,,6.88,,6.88,,,,,,,,,,,,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,,,,,,,,,,,,,,,,,6.88,,6.88,,,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
